nl|gingen de Canadezen toch met de winst aan de haal. In april werd ook Schotland
nl|verslagen in een vriendschappelijk duel. Het werd 6-2 voor Oranje. Na deze wedstrijd kondigde record-international
nl|Annemieke Kiesel-Griffioen aan dat ze bezig was aan haar laatste seizoen en derhalve dus ook
nl|Na het Eredivisie-seizoen werden nog een drietal wedstrijden tegen WK-gangers gespeeld. Tegen Noord-Korea werd een
nl|De kwalificatiecyclus voor het EK 2013 start voor het Nederlands elftal in september 2011. Bij
nl|de loting werd het gekoppeld aan Engeland, Slovenië, Servië en Kroatië. In de eerste wedstrijd
nl|werd Servië in eigen huis met 6-0 verslagen. Ook de tweede wedstrijd werd in winst
nl|omgezet. In Kroatië won het elftal met 0-3. De thuiswedstrijd tegen Engeland die volgde eindigde
nl|in een 0-0 gelijkspel. Vervolgens werd er uit bij Slovenië een 0-2-overwinning geboekt door doelpunten
nl|van Kirsten van de Ven en Chantal de Ridder. In de laatste wedstrijd van 201
en|of President of the Senate, PDL leader Vasile Blaga, President of the Chamber of Deputies,
en|PDL member Roberta Anastase and Ombudsman. Through an Emergency Ordinance, government restricts the attributions of
en|Băsescu was suspended as President of Romania, by Parliament, with 256 votes in favor and
en|114 against. There were two abstentions. After announcing the results, Parliament proposed that the presidential
en|impeachment referendum to be held on July 29, 2012, proposal approved by the plenary with
en|242 votes in favor. Suspended president notified the Constitutional Court, calling for a constitutional legal
en|conflict between president and Parliament. "I do not defend the seat, but I want to
en|defend the office", President explained. Therewith, he reiterated accusations against USL and its leaders, accusing
en|them of lying and wanted to subordinate the justice. "If I return as president it
en|will still be impossible for thieves and impostors from politics to negotiate with me their
